Parameter,Estimate,UR low,UR high,Southafrica,
Retreatment_in_All,0.17,0.1,0.22,0.9,copied from patient characteristics en block
RIF-R_in_New,0.028,0.02,0.036,0.03,
RIF-R_in_Retreatment,0.13,0.05,0.2,0.07,
PZA-R_in_RIF-S,0.051299508,0.005,0.065,0.01,
PZA-R_in_RIF-R,0.29,0.2,0.4,0.44,
MOXI-R-any_in_RIF-S,0.035656895,0.02,0.08,0,
MOXI-R-any_in_RIF-R,0.152230277,0.12,0.19,0.1,
MOXI-R-highlevel_in_RIF-S,0.002636736,0.001,0.005,0,
MOXI-R-highlevel_in_RIF-R,0.023624699,0.014,0.032,0.02,
INH-R_in_NewRIF-S,0.085,0.07,0.1,0.06,
INH-R_in_RetreatmentRIF-S,0.152,0.13,0.18,0.07,
INH-R_in_RIF-R,1,0.9,1,0.63,
BDQ-R_in_All,0,0,0.01,0,
PA-R_in_All,0,0,0.01,0,
HIV_in_all,0.03,0.02,0.04,0.6,
Smearpos_in_HIVpos,0.32,0.2,0.45,,
Smearpos_in_HIVneg,0.5,0.4,0.64,,
OR-PZA-if_MOXI,2.88,0.01,0.08,,
Tbdxtime,12,8,18,,TB epi and clinical practice en block
Tbdxtime_recurrenceratio,0.5,0.25,1,,
Unavoidableloss,0.1,0.05,0.2,,
DSTdelay,0,0,0.5,,
DSTloss,0,0,0.1,,
Regimendelay,0.25,0.1,3,,
Regimenloss,0.05,0,0.2,,
Monthlyloss,0.01,0.008,0.02,,
Rate_of_spread,0.075,0.027777778,0.166666667,,
Monthlymortality_TB,0.016666667,0.011904762,0.027777778,,"1/5/12, avg time to death 5 yrs among those who die (poisson, makes half dead at 3.5 years)"
Monthlymortality_background,0.002083333,0.001666667,0.002777778,,1/40/12
Monthlymortality_HIV,0.002,0.001,0.004,,
Sens_TB_smearpos,0.990769231,0.98,1,,
Sens_TB_smearneg,0.63,0.54,0.71,,
Sens_RR,0.95,0.9,0.99,,
Sens_FQ_high,0.96,0.87,0.995,,
Sens_FQ_low,0.75,0.59,0.86,,
Xpert_current_new,0.35,0.27,0.6,,
Xpert_current_rerx,0.9,0.85,0.95,,
Xpert_max,0.9,0.8,1,,
Recurrence_interval,11,6,18,,
Failures_per_recurrence,0.25,0.1,1,,
coef1,2.53,1.518,3.542,,wallis plos on 2015 (table 3)
coef2,2.5,2.05,2.95,,wallis plos on 2015 (table 3)
coef3,0.44,0.2464,0.6336,,wallis plos on 2015 (table 3)
pooled_INH_fraction,0.063461452,,,,"See treatment outcome assumptions, reflecting 4mo fq trials"
HRZE_pooled_relapse,0.062789335,,,,See treatment outcome assumptions
INH_multiplier,3,1,5,,See treatment outcome assumptions
BPaM_cxconv,0.94,0.89,0.96,,See treatment outcome assumptions. Range comes from TBA data also.
BPaZ_cxconv,0.89,0.84,0.92,,See treatment outcome assumptions
MDR_failrelapse_FQ-S,0.108706852,0.07,0.2,,"See treatment outcome assumptions. Low bound is based on STREAM 1, (f+r)/(s+f+r)=(1+4+0+2)/(124-5-3-3-4-3). High bound assumes worse in non-research settings. "
MDR_failrelapse_FQ-R,0.260869565,0.11,0.4,,See treatment outcome assumptions. Low bound assumes as good as FQ-S with modern drugs. High bound assumes additional resistance along with FQ-R.
INHmono_failrelapse,0.05,0.03,0.1,,See treatment outcome assumptions
Highrecurrence,0.8,,,,See treatment outcome assumptions
adr_r,0.005,,,,From resistance outcomes en block
adr_bpamz,0.002,,0.01,,
adr_mdr,0.04,,,,
adrfactor_other,3,2,5,,
adrfactor_z,1,,3,,
adrfactor_twodrugs,10,,,,
adrfactor_partialmoxi,0.67,0.5,1,,
novelcoverage,1,,,,What fraction of eligible patients are considered for the novel regimen and/or novel DST
partialmoxiOR,1.7,1.3,2.2,,Menizes Lancet 2018; see treamtent outcome assumptions
